album_id,genre,song_name
10292330,"R&B/Soul, 댄스",누구 없소 (NO ONE) (Feat. B.I of iKON)
2233456,"댄스, 발라드",보름달 (Feat. Lena)
1248368,"댄스, 발라드",피노키오 (Danger)
1272951,발라드,비가 오는 날엔
2258044,랩/힙합,사람냄새
10415229,"국내드라마, 발라드",그대 고운 내사랑
2188413,"댄스, 발라드",Give It To Me
10937474,"랩/힙합, 댄스, 일렉트로니카",That That (prod. & feat. SUGA of BTS)
1029252,발라드,그대네요
10611845,R&B/Soul,헤픈 우연
2212999,"댄스, R&B/Soul",내일은 없어
1229964,"댄스, 발라드",Heart To Heart
10189965,랩/힙합,flex (Prod. By 기리보이)
973965,발라드,밥만 잘 먹더라
2315407,"댄스, 발라드",연예할래
10890384,"록/메탈, R&B/Soul, 댄스, 랩/힙합",TOMBOY
1143954,"발라드, 댄스",Black & White
2319508,발라드,이럴거면 그러지말지 (Feat. Young K)
2276500,랩/힙합,A Real Man
2192532,"발라드, 댄스",U & I
10259609,랩/힙합,술이 달다 (Feat. Crush)
10437786,댄스,MORE & MORE
2133148,"댄스, 발라드",DAY BY DAY
10575005,성인가요/트로트,별빛 같은 나의 사랑아
2165918,발라드,만약에 말야 (전우성 Solo)
10908834,록/메탈,봄여름가을겨울 (Still Life)
904355,R&B/Soul,Bye Bye Bye
10427559,"인디음악, 포크/블루스",나비와 고양이 (feat.백현 (BAEKHYUN))
10101927,"국내드라마, 록/메탈",짙어져
2196649,댄스,넌 내꺼라는걸 (Feat. 스윙스)
10024106,"발라드, 국내드라마, R&B/Soul",Beautiful
10607796,록/메탈,신호등
10359994,랩/힙합,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)"
2137275,랩/힙합,강남스타일
988352,"인디음악, 록/메탈",아메리카노
988353,댄스,정신이 나갔었나봐
10556610,발라드,추억은 만남보다 이별에 남아
11078852,"록/메탈, 댄스, 랩/힙합, R&B/Soul",Nxde
2657476,댄스,PICK ME
2680009,발라드,하늘바라기 (Feat. 하림)
2335950,"댄스, R&B/Soul, 록/메탈, 일렉트로니카",레옹
10857681,발라드,언제나 사랑해
2669778,"발라드, 국내드라마",이 사랑
10527955,발라드,그날에 나는 맘이 편했을까
10353881,발라드,우리 왜 헤어져야 해
10894554,"댄스, 발라드, R&B/Soul",Feel My Rhythm
10433754,"국내드라마, 발라드",사랑하게 될 줄 알았어
2673882,"국내드라마, 발라드",말해! 뭐해?
2313436,댄스,어머님이 누구니 (Feat. 제시)
2184411,발라드,청혼하는 거예요
1356151,랩/힙합,"Grand Final (Feat. 정인, MC 날유)"
10286309,발라드,너에게 못했던 내 마지막 말은
2311397,"댄스, R&B/Soul, 발라드",CALL ME BABY
10210535,R&B/Soul,삐삐
2137318,댄스,Midnight (별 헤는 밤)
10013929,"인디음악, 록/메탈",비행운
1324270,"댄스, 발라드, 록/메탈",바람났어 (Feat. 박봄)
10716399,"R&B/Soul, 인디음악",너를 생각해
2223343,"발라드, 국내드라마",My Destiny
10085618,랩/힙합,N분의1 (Feat. 다이나믹듀오)
2309363,발라드,사월의 눈
2663668,"댄스, 발라드",시간을 달려서 (Rough)
2641140,랩/힙합,보통연애 (Feat. 박보람)
2663674,"발라드, R&B/Soul",너는 나 나는 너
2671866,R&B/Soul,한숨
2311419,"댄스, R&B/Soul",다른 남자 말고 너
10218750,"댄스, R&B/Soul, 발라드",Tempo
10226943,발라드,흔한 이별
2260223,랩/힙합,한여름밤의 꿀
2157826,"록/메탈, 발라드",휘파람
10388744,"국내드라마, 발라드",마음을 드려요
10540298,R&B/Soul,밝게 빛나는 별이 되어 비춰줄게
759051,댄스,Change (Feat. 용준형 From Beast)
10016012,발라드,노력
10261773,랩/힙합,눈 (Prod. 기리보이)
10351886,"댄스, 발라드",HIP
2243859,발라드,그런 남자
2008341,"댄스, 발라드",Top Girl
1283353,"록/메탈, 발라드",Hello Hello
10507546,발라드,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
2180379,"발라드, 댄스",Love Blossom (러브블러썸)
2069786,댄스,이럴 줄 알았어
2084128,"댄스, 발라드",FANTASTIC BABY
2217249,발라드,그리워해요
2168099,"발라드, 댄스",카페인 (Feat. 용준형 Of BEAST)
2180390,포크/블루스,외국인의 고백
10577197,"발라드, 인디음악",이렇게 좋아해 본 적이 없어요
1051951,"댄스, 발라드",훗 (Hoot)
2327866,"댄스, 발라드",링마벨 (Ring My Bell)
2192706,"R&B/Soul, 발라드",Be OK (Feat. 배치기)
2250057,"댄스, 발라드",HER
10294603,"R&B/Soul, 인디음악",오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
10478925,발라드,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
10929486,발라드,나의 X에게
2327886,R&B/Soul,Oasis (Feat. ZICO)
10317137,"국내드라마, 발라드",안녕
10267986,발라드,시든 꽃에 물을 주듯
1238353,"댄스, 발라드",To Me (내게로..)
2659671,발라드,어땠을까
2649434,"국내드라마, 발라드",걱정말아요 그대
1199451,발라드,가슴 시린 이야기 (Feat. 용준형 Of Beast)
2282848,발라드,당신만이
10052968,R&B/Soul,사랑이 잘 (With 오혁)
2688360,랩/힙합,"And July (Feat. DEAN, DJ Friz)"
943464,R&B/Soul,I Need A Girl (Feat. G-dragon)
10331499,"발라드, 인디음악",조금 취했어 (Prod. 2soo)
2291053,발라드,세 사람 (With 성시경)
763251,댄스,원더우먼
10163578,"댄스, 발라드",LATATA
10452351,"댄스, 발라드",마리아 (Maria)
10460544,발라드,거짓말이라도 해서 널 보고싶어
10337665,발라드,새 사랑
10452354,댄스,보라빛 밤 (pporappippam)
2653573,R&B/Soul,우주를 건너
779656,"댄스, 발라드",Oh!
10044814,"댄스, 발라드, R&B/Soul",얼굴 찌푸리지 말아요
1150353,"발라드, 록/메탈",하루하루
50578,발라드,살다가
10067347,"발라드, R&B/Soul",LONELY
2692501,R&B/Soul,비
10243480,발라드,초록빛
10302879,발라드,헤어져줘서 고마워
10102177,발라드,가을 안부
2256290,"발라드, 댄스",너의 의미 (Feat. 김창완)
2313635,"댄스, 발라드",Ah Yeah
2321827,"댄스, R&B/Soul, 발라드",LOVE ME RIGHT
1017253,"댄스, 발라드",Go Away
10073513,발라드,좋니
10005930,발라드,내 옆에 그대인 걸
2639273,댄스,Dumb Dumb
2196906,R&B/Soul,갖고놀래 (Feat. 다이나믹 듀오)
10325421,발라드,헤어지자 (Prod. 정키)
2012587,발라드,Hello
1273259,발라드,Lonely
10923444,"발라드, 성인가요/트로트, 포크/블루스, 랩/힙합, 록/메탈, 재즈",우리들의 블루스
2336184,랩/힙합,겁 (Feat. 태양)
10667450,댄스,DUMB DUMB
10110396,"발라드, 국내드라마",My Way
10290621,발라드,사랑이 식었다고 말해도 돼
2696637,랩/힙합,Day Day (Feat. 박재범) (Prod. by GRAY)
10816959,발라드,취중고백
2282942,R&B/Soul,양화대교
2280892,랩/힙합,독기
1306051,"댄스, 발라드",Hot Summer
10227145,발라드,너도 그냥 날 놓아주면 돼
1263051,댄스,Ma Boy (마보이)
802252,"댄스, 발라드",루팡 (Lupin)
959951,"국내드라마, 발라드",그 사람
10132945,랩/힙합,사랑을 했다 (LOVE SCENARIO)
2270673,"발라드, 국내드라마",괜찮아 사랑이야
10399190,"랩/힙합, 인디음악",어떻게 지내 (Prod. By VAN.C)
10128855,댄스,주인공
2026966,"발라드, 록/메탈",서쪽 하늘
861656,"댄스, 발라드",Without U
10214874,"발라드, 국내드라마",내 생에 아름다운
2708957,"발라드, 댄스",내가 저지른 사랑
