,year,rank,song_name,artist,likes,album_id,song_id
349,2019년,50,Goodbye,박효신,"175,612",10281385,31777113
350,2019년,51,별 보러 갈래?,볼빨간사춘기,"126,797",10268898,31709524
351,2019년,52,그건 아마 우리의 잘못은 아닐 거야,백예린 (Yerin Baek),"195,835",10262378,31674786
352,2019년,53,술이 달다 (Feat. Crush),에픽하이 (EPIK HIGH),"112,991",10259609,31658897
353,2019년,54,아낙네,MINO (송민호),"192,305",10226163,31448480
354,2019년,55,조금 취했어 (Prod. 2soo),임재현,"130,594",10331499,32059630
355,2019년,56,워커홀릭,볼빨간사춘기,"151,839",10327581,32038651
356,2019년,57,Snapping,청하,"110,625",10299371,31879867
357,2019년,58,삐삐,아이유,"295,421",10210535,31346009
358,2019년,59,고백,양다일,"152,396",10212203,31356458
359,2019년,60,19금 BAND,창모 (CHANGMO),"140,407",10294820,31854689
360,2019년,61,MILLIONS,WINNER,"169,537",10234872,31506637
361,2019년,62,사랑이란 멜로는 없어,전상근,"140,552",10326710,32034629
362,2019년,63,지나오다,닐로(Nilo),"263,622",10106853,30699142
363,2019년,64,흔한 이별,허각,"86,531",10226943,31453551
364,2019년,65,인사,멜로망스,"91,137",10305070,31914848
365,2019년,66,고고베베 (gogobebe),마마무 (Mamamoo),"87,088",10261306,31668491
366,2019년,67,가을 타나 봐,바이브,"182,012",10205439,31314144
367,2019년,68,가을밤 떠난 너,케이시 (Kassy),"138,511",10325945,32031043
368,2019년,69,봄 (feat. 산다라박),박봄 (Park Bom),"97,571",10260433,31663597
369,2019년,70,열애중,벤,"194,885",10164839,31062863
370,2019년,71,소우주 (Mikrokosmos),방탄소년단,"270,568",10273641,31737198
371,2019년,72,밤편지,아이유,"463,390",10047890,30314784
372,2019년,73,진심이 담긴 노래 (True Song),케이시 (Kassy),"117,739",10267222,31699965
373,2019년,74,너는 어땠을까,노을,"114,330",10219296,31403156
374,2019년,75,나의 어깨에 기대어요,10CM,"118,946",10309152,31938046
375,2019년,76,내 맘을 볼 수 있나요,헤이즈 (Heize),"106,772",10311752,31952592
376,2019년,77,Love poem,아이유,"346,208",10346650,32143487
377,2019년,78,Tempo,EXO,"207,193",10218750,31399721
378,2019년,79,헤어지자 (Prod. 정키),휘인 (Whee In),"121,551",10325421,32028531
379,2019년,80,늦은 밤 너의 집 앞 골목길에서,노을,"211,688",10348811,32156286
380,2019년,81,Dance The Night Away,TWICE (트와이스),"192,524",10183127,31175119
381,2019년,82,하루도 그대를 사랑하지 않은 적이 없었다,임창정,"177,364",10205805,31316695
382,2019년,83,새 사랑,송하예,"100,313",10337665,32091557
383,2019년,84,내 목소리 들리니,벤,"73,045",10316828,31983112
384,2019년,85,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),pH-1,"198,211",10209647,31340985
385,2019년,86,Done For Me,펀치 (Punch),"105,441",10318623,31993173
386,2019년,87,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이,"77,525",10292330,31841027
387,2019년,88,아름답고도 아프구나,비투비,"182,531",10215293,31417922
388,2019년,89,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이,"116,353",10295207,31856628
389,2019년,90,Make It Right,방탄소년단,"197,826",10273641,31737199
390,2019년,91,We don't talk together (Feat. 기리보이) (Prod. SUGA),헤이즈 (Heize),"150,376",10303989,31908033
391,2019년,92,있어줘요,장덕철,"88,345",10336518,32085144
392,2019년,93,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,"197,842",2702242,8298724
393,2019년,94,그러나,10CM,"81,402",10258451,31652857
394,2019년,95,AH YEAH (아예),WINNER,"118,971",10285396,31798464
395,2019년,96,Blueming,아이유,"357,355",10346650,32183386
396,2019년,97,"인기 (Feat. 송가인, 챈슬러)",MC몽,"82,672",10344095,32128104
397,2019년,98,ICY,ITZY (있지),"99,396",10312251,31955739
398,2019년,99,눈 (Prod. 기리보이),Lil tachi,"129,404",10261773,31671295
399,2019년,100,오늘 밤에,홍진영,"60,539",10259010,31655897
400,2018년,1,사랑을 했다 (LOVE SCENARIO),iKON,"334,312",10132945,30859584
401,2018년,2,그날처럼,장덕철,"254,474",10115186,30755375
402,2018년,3,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,"428,626",10149492,30962526
403,2018년,4,지나오다,닐로(Nilo),"263,622",10106853,30699142
404,2018년,5,뿜뿜,모모랜드 (MOMOLAND),"151,068",10124822,30816860
405,2018년,6,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,"259,635",10176415,31131273
406,2018년,7,선물,멜로망스,"351,245",10078176,30514366
407,2018년,8,Way Back Home,숀 (SHAUN),"364,455",10179508,31151836
408,2018년,9,그때 헤어지면 돼,로이킴,"241,713",10137574,30884950
409,2018년,10,여행,볼빨간사춘기,"300,243",10170069,31093710
410,2018년,11,You,멜로망스,"186,610",10131018,30849733
411,2018년,12,별이 빛나는 밤,마마무 (Mamamoo),"181,592",10145303,30937275
412,2018년,13,주지마,로꼬,"208,055",10160487,31035061
413,2018년,14,Roller Coaster,청하,"190,829",10129940,30844118
414,2018년,15,My Way,이수 (엠씨더맥스),"165,210",10110396,30721801
415,2018년,16,DNA,방탄소년단,"375,070",10097112,30637982
416,2018년,17,가을 안부,먼데이 키즈 (Monday Kiz),"183,876",10102177,30669593
417,2018년,18,FAKE LOVE,방탄소년단,"338,449",10168559,31085237
418,2018년,19,봄날,방탄소년단,"551,019",10037969,30244931
419,2018년,20,Dance The Night Away,TWICE (트와이스),"192,524",10183127,31175119
420,2018년,21,꽃 길,BIGBANG (빅뱅),"236,647",10147314,30948698
421,2018년,22,밤편지,아이유,"463,390",10047890,30314784
422,2018년,23,열애중,벤,"194,885",10164839,31062863
423,2018년,24,미안해,양다일,"217,414",10123639,30809895
424,2018년,25,비행운,문문 (MoonMoon),"227,351",10013929,30086173
425,2018년,26,What is Love?,TWICE (트와이스),"162,349",10156195,31006730
426,2018년,27,instagram,DEAN,"288,850",10122929,30806580
427,2018년,28,그리워하다,비투비,"302,082",10102658,30672529
428,2018년,29,이 별,길구봉구,"173,162",10097064,30637776
429,2018년,30,Bad Boy,Red Velvet (레드벨벳),"192,339",10134032,30864993
430,2018년,31,밤이 되니까,펀치 (Punch),"218,757",10100577,30659630
431,2018년,32,Forever Young,BLACKPINK,"211,763",10176415,31131274
432,2018년,33,Beautiful,Wanna One (워너원),"239,301",10111029,30725482
433,2018년,34,Heart Shaker,TWICE (트와이스),"155,968",10118955,30781481
434,2018년,35,밤 (Time for the moon night),여자친구 (GFRIEND),"171,528",10163106,31052421
435,2018년,36,에너제틱 (Energetic),Wanna One (워너원),"290,816",10085951,30568338
436,2018년,37,좋니,윤종신,"360,450",10073513,30486509
437,2018년,38,하루도 그대를 사랑하지 않은 적이 없었다,임창정,"177,364",10205805,31316695
438,2018년,39,#첫사랑,볼빨간사춘기,"132,707",10127486,30829858
439,2018년,40,붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온 (HAON),"193,375",10158254,31019584
440,2018년,41,소나기 (Feat. 10cm),용준형,"163,253",10150572,30970444
441,2018년,42,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),"314,526",10074454,30492279
442,2018년,43,1도 없어,Apink (에이핑크),"116,166",10181013,31161280
443,2018년,44,Universe,EXO,"188,147",10122917,30806536
444,2018년,45,너 없인 안 된다,비투비,"211,121",10175106,31133898
445,2018년,46,삐삐,아이유,"295,421",10210535,31346009
446,2018년,47,all of my life,박원,"249,742",10083290,30550388
447,2018년,48,넋두리,닐로(Nilo),"125,778",2710553,9642570
448,2018년,49,너나 해 (Egotistic),마마무 (Mamamoo),"127,860",10185416,31189241
449,2018년,50,주인공,선미,"113,014",10128855,30838076
450,2018년,51,가을 타나 봐,바이브,"182,012",10205439,31314144
451,2018년,52,동화,멜로망스,"135,769",10181438,31164090
452,2018년,53,비,폴킴,"307,618",2692501,8235260
453,2018년,54,Jenga (Feat. Gaeko),헤이즈 (Heize),"126,438",10145963,30939452
454,2018년,55,BOOMERANG (부메랑),Wanna One (워너원),"145,272",10144723,30960341
455,2018년,56,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,"351,642",10093389,30613202
456,2018년,57,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),"235,448",10077879,30512671
457,2018년,58,사이렌 (Siren),선미,"136,640",10200838,31286161
458,2018년,59,Power Up,Red Velvet (레드벨벳),"167,883",10191694,31230093
459,2018년,60,눈사람,정승환,"246,446",10136251,30877002
460,2018년,61,전하지 못한 진심 (Feat. Steve Aoki),방탄소년단,"273,574",10168559,31085238
461,2018년,62,LIKEY,TWICE (트와이스),"147,934",10107114,30700708
462,2018년,63,마지막처럼,BLACKPINK,"242,264",10072696,30481578
463,2018년,64,EVERYDAY,WINNER,"156,794",10154916,30997649
464,2018년,65,눈 떠보니 이별이더라,포맨 (4MEN),"122,043",10105438,30690674
465,2018년,66,첫눈처럼 너에게 가겠다,에일리(Ailee),"356,303",10029181,30190630
466,2018년,67,바코드 (Prod. GroovyRoom),김하온 (HAON),"155,759",10153531,30989550
467,2018년,68,헤어지는 중,펀치 (Punch),"130,500",10203500,31302310
468,2018년,69,IDOL,방탄소년단,"320,333",10197480,31266290
469,2018년,70,SoulMate (Feat. 아이유),지코 (ZICO),"161,990",10189402,31215747
470,2018년,71,우리 그만하자,로이킴,"140,793",10205438,31314142
471,2018년,72,약속해요 (I.P.U.),Wanna One (워너원),"159,588",10144723,30930312
472,2018년,73,너를 만나,폴킴,"323,085",10217134,31388145
473,2018년,74,기억의 빈자리,나얼,"126,852",10115433,30757693
474,2018년,75,썸 탈꺼야,볼빨간사춘기,"217,689",10100191,30657307
475,2018년,76,노력,박원,"203,409",10016012,30099927
476,2018년,77,REALLY REALLY,WINNER,"255,218",10051659,30341745
477,2018년,78,좋아,민서 (MINSEO),"139,882",10111490,30729198
478,2018년,79,피카부 (Peek-A-Boo),Red Velvet (레드벨벳),"171,231",10112486,30736437
479,2018년,80,빙글뱅글 (Bingle Bangle),AOA,"77,083",10170965,31098083
480,2018년,81,북 (Prod. SLO),Rohann (이로한),"93,872",10148752,30957524
481,2018년,82,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),pH-1,"198,211",10209647,31340985
482,2018년,83,LATATA,(여자)아이들,"155,980",10163578,31055324
483,2018년,84,고백,양다일,"152,396",10212203,31356458
484,2018년,85,답장,김동률,"96,098",10128163,30833270
485,2018년,86,SOLO,제니 (JENNIE),"222,787",10221424,31417871
486,2018년,87,Anpanman,방탄소년단,"193,106",10168559,31085244
487,2018년,88,짙어져,멜로망스,"97,089",10101927,30667988
488,2018년,89,켜줘 (Light),Wanna One (워너원),"133,886",10173365,31113240
489,2018년,90,"그때의 나, 그때의 우리",어반자카파,"114,662",10108597,30709103
490,2018년,91,"셋 셀테니 (1, 2, 3!)",승리,"81,119",10187129,31199873
491,2018년,92,욕심,멜로망스,"81,095",10162211,31046548
492,2018년,93,Lonely (Feat. 태연),종현 (JONGHYUN),"240,255",10057543,30383758
493,2018년,94,花요일 (Blooming Day),EXO-CBX (첸백시),"126,561",10156597,31009483
494,2018년,95,바람이 불었으면 좋겠어,길구봉구,"128,266",2224353,4383833
495,2018년,96,시간이 들겠지 (Feat. Colde),로꼬,"160,932",10210198,31344113
496,2018년,97,flex (Prod. By 기리보이),기리보이,"174,334",10189965,31219546
497,2018년,98,YES or YES,TWICE (트와이스),"161,803",10219298,31403163
498,2018년,99,바보야,허각,"74,842",10114851,30753213
499,2018년,100,가시나,선미,"163,330",10089089,30587846
500,2017년,1,첫눈처럼 너에게 가겠다,에일리(Ailee),"356,303",10029181,30190630
501,2017년,2,밤편지,아이유,"463,390",10047890,30314784
502,2017년,3,좋니,윤종신,"360,450",10073513,30486509
503,2017년,4,좋다고 말해,볼빨간사춘기,"231,382",10024816,30163110
504,2017년,5,Marry Me,마크툽 (MAKTUB),"216,777",2271467,4786735
505,2017년,6,비도 오고 그래서 (Feat. 신용재),헤이즈 (Heize),"314,526",10074454,30492279
506,2017년,7,팔레트 (Feat. G-DRAGON),아이유,"286,976",10056666,30378156
507,2017년,8,Beautiful,Crush,"239,198",10024106,30157753
508,2017년,9,오늘 취하면 (Feat. 창모) (Prod. SUGA),SURAN (수란),"236,091",10058598,30390068
509,2017년,10,KNOCK KNOCK,TWICE (트와이스),"162,948",10040060,30261007
510,2017년,11,REALLY REALLY,WINNER,"255,218",10051659,30341745
511,2017년,12,봄날,방탄소년단,"551,019",10037969,30244931
512,2017년,13,오랜 날 오랜 밤,AKMU (악뮤),"234,113",10027786,30181278
513,2017년,14,우주를 줄게,볼빨간사춘기,"293,881",2707131,9620469
514,2017년,15,나만 안되는 연애,볼빨간사춘기,"211,067",2707131,9620473
515,2017년,16,남이 될 수 있을까,볼빨간사춘기,"205,440",10070846,30468654
516,2017년,17,사랑이 잘 (With 오혁),아이유,"242,051",10052968,30349593
517,2017년,18,선물,멜로망스,"351,245",10078176,30514366
518,2017년,19,마지막처럼,BLACKPINK,"242,264",10072696,30481578
